"Gender","Age.Group","Fit.Bound","Effect","Excess Mortality"
"Female","<1","fit","Direct Effects",0
"Female","1-4","fit","Direct Effects",1
"Female","5-9","fit","Direct Effects",1
"Female","10-14","fit","Direct Effects",1
"Female","15-19","fit","Direct Effects",5
"Female","20-24","fit","Direct Effects",15
"Female","25-29","fit","Direct Effects",26
"Female","30-34","fit","Direct Effects",49
"Female","35-39","fit","Direct Effects",85
"Female","40-44","fit","Direct Effects",146
"Female","45-49","fit","Direct Effects",268
"Female","50-54","fit","Direct Effects",478
"Female","55-59","fit","Direct Effects",755
"Female","60-64","fit","Direct Effects",1105
"Female","65-69","fit","Direct Effects",1607
"Female","70-74","fit","Direct Effects",2743
"Female","75-79","fit","Direct Effects",4234
"Female","80-84","fit","Direct Effects",6493
"Female","85-89","fit","Direct Effects",7914
"Female","90+","fit","Direct Effects",10248
"Female","<1","fit","Indirect Effects",-11
"Female","1-4","fit","Indirect Effects",-41
"Female","5-9","fit","Indirect Effects",-49
"Female","10-14","fit","Indirect Effects",9
"Female","15-19","fit","Indirect Effects",21
"Female","20-24","fit","Indirect Effects",-80
"Female","25-29","fit","Indirect Effects",-41
"Female","30-34","fit","Indirect Effects",-15
"Female","35-39","fit","Indirect Effects",122
"Female","40-44","fit","Indirect Effects",200
"Female","45-49","fit","Indirect Effects",68
"Female","50-54","fit","Indirect Effects",375
"Female","55-59","fit","Indirect Effects",128
"Female","60-64","fit","Indirect Effects",71
"Female","65-69","fit","Indirect Effects",1153
"Female","70-74","fit","Indirect Effects",-369
"Female","75-79","fit","Indirect Effects",1349
"Female","80-84","fit","Indirect Effects",-103
"Female","85-89","fit","Indirect Effects",1983
"Female","90+","fit","Indirect Effects",3660
"Female","<1","fit","Net Effects",-11
"Female","1-4","fit","Net Effects",-40
"Female","5-9","fit","Net Effects",-48
"Female","10-14","fit","Net Effects",10
"Female","15-19","fit","Net Effects",26
"Female","20-24","fit","Net Effects",-65
"Female","25-29","fit","Net Effects",-15
"Female","30-34","fit","Net Effects",34
"Female","35-39","fit","Net Effects",207
"Female","40-44","fit","Net Effects",346
"Female","45-49","fit","Net Effects",336
"Female","50-54","fit","Net Effects",853
"Female","55-59","fit","Net Effects",883
"Female","60-64","fit","Net Effects",1176
"Female","65-69","fit","Net Effects",2760
"Female","70-74","fit","Net Effects",2374
"Female","75-79","fit","Net Effects",5583
"Female","80-84","fit","Net Effects",6390
"Female","85-89","fit","Net Effects",9897
"Female","90+","fit","Net Effects",13908
"Female","<1","lwr","Direct Effects",0
"Female","1-4","lwr","Direct Effects",1
"Female","5-9","lwr","Direct Effects",1
"Female","10-14","lwr","Direct Effects",1
"Female","15-19","lwr","Direct Effects",5
"Female","20-24","lwr","Direct Effects",15
"Female","25-29","lwr","Direct Effects",26
"Female","30-34","lwr","Direct Effects",49
"Female","35-39","lwr","Direct Effects",85
"Female","40-44","lwr","Direct Effects",146
"Female","45-49","lwr","Direct Effects",268
"Female","50-54","lwr","Direct Effects",478
"Female","55-59","lwr","Direct Effects",755
