"Gender","Age.Group","Fit.Bound","LE"
"Female","<1","fit","83.9066790997575"
"Female","1-4","fit","83.1994799477403"
"Female","5-9","fit","79.2434325108521"
"Female","10-14","fit","74.27021874356"
"Female","15-19","fit","69.2935785390403"
"Female","20-24","fit","64.3379041886077"
"Female","25-29","fit","59.4078040529195"
"Female","30-34","fit","54.4897550077066"
"Female","35-39","fit","49.6034277376666"
"Female","40-44","fit","44.7583442951794"
"Female","45-49","fit","39.9625823688036"
"Female","50-54","fit","35.2777139153021"
"Female","55-59","fit","30.6641446025374"
"Female","60-64","fit","26.1790818121677"
"Female","65-69","fit","21.8876120470928"
"Female","70-74","fit","17.722448906801"
"Female","75-79","fit","13.8697622930436"
"Female","80-84","fit","10.3468446069878"
"Female","85-89","fit","7.41750374471681"
"Female","90+","fit","5.2459229725614"
"Female","<1","lwr","82.3595693998017"
"Female","1-4","lwr","81.7387550101831"
"Female","5-9","lwr","77.8047533000728"
"Female","10-14","lwr","72.8485696638139"
"Female","15-19","lwr","67.8792197090372"
"Female","20-24","lwr","62.9542576386333"
"Female","25-29","lwr","58.0437473918926"
"Female","30-34","lwr","53.143390747394"
"Female","35-39","lwr","48.2789285993711"
"Female","40-44","lwr","43.4530496055588"
"Female","45-49","lwr","38.6893951178706"
"Female","50-54","lwr","34.0340535348911"
"Female","55-59","lwr","29.4381107432292"
"Female","60-64","lwr","25.0053053911583"
"Female","65-69","lwr","20.7438976889489"
"Female","70-74","lwr","16.694036054638"
"Female","75-79","lwr","12.919597143029"
"Female","80-84","lwr","9.43484731493958"
"Female","85-89","lwr","6.53056734766376"
"Female","90+","lwr","4.35430129483268"
"Female","<1","upr","85.6761119914503"
"Female","1-4","upr","84.8964970949165"
"Female","5-9","upr","80.9180255177977"
"Female","10-14","upr","75.9274913580701"
"Female","15-19","upr","70.9434310452804"
"Female","20-24","upr","65.9574635447626"
"Female","25-29","upr","61.0074809003628"
"Female","30-34","upr","56.0716314745426"
"Female","35-39","upr","51.1632706787463"
"Female","40-44","upr","46.298972443383"
"Female","45-49","upr","41.4713786885279"
"Female","50-54","upr","36.7573983524243"
"Female","55-59","upr","32.1271980934978"
"Female","60-64","upr","27.5879070102846"
"Female","65-69","upr","23.2680735840288"
"Female","70-74","upr","19.001987108993"
"Female","75-79","upr","15.0914536447001"
"Female","80-84","upr","11.5511106677094"
"Female","85-89","upr","8.61235296191051"
"Female","90+","upr","6.45855523246316"
"Male","<1","fit","80.1700924384857"
"Male","1-4","fit","79.5329062014998"
"Male","5-9","fit","75.5712444532755"
"Male","10-14","fit","70.5937824645216"
"Male","15-19","fit","65.6317157748399"
"Male","20-24","fit","60.7151739222638"
"Male","25-29","fit","55.8580646548962"
"Male","30-34","fit","51.0257229443014"
"Male","35-39","fit","46.2184783706789"
"Male","40-44","fit","41.4753396793736"
"Male","45-49","fit","36.7684721111668"
"Male","50-54","fit","32.2073745882609"
"Male","55-59","fit","27.7858640097502"
"Male","60-64","fit","23.5015336743675"
"Male","65-69","fit","19.4265738271105"
"Male","70-74","fit","15.5842520796723"
"Male","75-79","fit","12.0828720004803"
"Male","80-84","fit","8.91518086057587"
"Male","85-89","fit","6.38419392074821"
"Male","90+","fit","4.61989789502804"
"Male","<1","lwr","78.7550635155761"
"Male","1-4","lwr","78.2665450313086"
"Male","5-9","lwr","74.312861066466"
"Male","10-14","lwr","69.344753641038"
"Male","15-19","lwr","64.3939772350924"
"Male","20-24","lwr","59.5071871450156"
"Male","25-29","lwr","54.6928691061849"
"Male","30-34","lwr","49.8906417581428"
"Male","35-39","lwr","45.1197258248221"
"Male","40-44","lwr","40.4075803759303"
"Male","45-49","lwr","35.7401236804089"
"Male","50-54","lwr","31.2045266393312"
"Male","55-59","lwr","26.8080453363497"
"Male","60-64","lwr","22.5280402206645"
"Male","65-69","lwr","18.4630296878913"
"Male","70-74","lwr","14.7682092413912"
"Male","75-79","lwr","11.4236669095837"
"Male","80-84","lwr","8.36995865456004"
"Male","85-89","lwr","5.84568921636466"
"Male","90+","lwr","4.07554658285347"
"Male","<1","upr","81.6266428209818"
"Male","1-4","upr","80.8628810210196"
"Male","5-9","upr","76.8930175383441"
"Male","10-14","upr","71.9058498128202"
"Male","15-19","upr","66.9326213792947"
"Male","20-24","upr","61.986776006293"
"Male","25-29","upr","57.0862775922818"
"Male","30-34","upr","52.2236399645477"
"Male","35-39","upr","47.3792743746427"
"Male","40-44","upr","42.6044491032145"
"Male","45-49","upr","37.858682123639"
