"Gender","Age.Group","Fit.Bound","LE"
"Female","<1","fit","83.6117033788376"
"Female","1-4","fit","82.9004414068487"
"Female","5-9","fit","78.9344189960988"
"Female","10-14","fit","73.9507213297471"
"Female","15-19","fit","68.9757817851134"
"Female","20-24","fit","64.0243520793392"
"Female","25-29","fit","59.080119818394"
"Female","30-34","fit","54.1555864784848"
"Female","35-39","fit","49.2666272568622"
"Female","40-44","fit","44.4349864846084"
"Female","45-49","fit","39.6607693565526"
"Female","50-54","fit","34.9799536679313"
"Female","55-59","fit","30.3928718551312"
"Female","60-64","fit","25.9118396364221"
"Female","65-69","fit","21.6173702377847"
"Female","70-74","fit","17.5176287316314"
"Female","75-79","fit","13.6308249790055"
"Female","80-84","fit","10.1511365630012"
"Female","85-89","fit","7.16503550380015"
"Female","90+","fit","4.99293751811737"
"Female","<1","lwr","83.2404231289505"
"Female","1-4","lwr","82.5592321254618"
"Female","5-9","lwr","78.5935302081271"
"Female","10-14","lwr","73.6099175541335"
"Female","15-19","lwr","68.6353949735336"
"Female","20-24","lwr","63.6850490893584"
"Female","25-29","lwr","58.7413578326573"
"Female","30-34","lwr","53.8171959430085"
"Female","35-39","lwr","48.9291084992627"
"Female","40-44","lwr","44.098615917829"
"Female","45-49","lwr","39.328000141453"
"Female","50-54","lwr","34.6503360622176"
"Female","55-59","lwr","30.06437514311"
"Female","60-64","lwr","25.5801686108085"
"Female","65-69","lwr","21.2853857127764"
"Female","70-74","lwr","17.2415905342224"
"Female","75-79","lwr","13.4266214807585"
"Female","80-84","lwr","9.99324921364441"
"Female","85-89","lwr","6.99058132580763"
"Female","90+","lwr","4.77656995282895"
"Female","<1","upr","83.9596067019101"
"Female","1-4","upr","83.2235860636185"
"Female","5-9","upr","79.2572442258393"
"Female","10-14","upr","74.2734593608625"
"Female","15-19","upr","69.2981138314743"
"Female","20-24","upr","64.3456441081284"
"Female","25-29","upr","59.4008708232329"
"Female","30-34","upr","54.4759502080334"
"Female","35-39","upr","49.5861055147763"
"Female","40-44","upr","44.7532840773192"
"Female","45-49","upr","39.9755364530558"
"Female","50-54","upr","35.2915327480449"
"Female","55-59","upr","30.7031320630048"
"Female","60-64","upr","26.224900952457"
"Female","65-69","upr","21.9301837497539"
"Female","70-74","upr","17.7814482046368"
"Female","75-79","upr","13.8323481946272"
"Female","80-84","upr","10.3101775452727"
"Female","85-89","upr","7.34054634058304"
"Female","90+","upr","5.20929190713363"
"Male","<1","fit","79.9612970642742"
"Male","1-4","fit","79.2939323543952"
"Male","5-9","fit","75.3345418274356"
"Male","10-14","fit","70.3618079535277"
"Male","15-19","fit","65.3892997188609"
"Male","20-24","fit","60.4713029583834"
"Male","25-29","fit","55.5996111760671"
"Male","30-34","fit","50.7495491631607"
"Male","35-39","fit","45.9396472593786"
"Male","40-44","fit","41.2059371957451"
"Male","45-49","fit","36.5483355533388"
"Male","50-54","fit","32.0132256802419"
"Male","55-59","fit","27.6147203374086"
"Male","60-64","fit","23.3589403735779"
"Male","65-69","fit","19.3212582344718"
"Male","70-74","fit","15.5754634165169"
"Male","75-79","fit","12.0422464702492"
"Male","80-84","fit","8.94984309310618"
"Male","85-89","fit","6.38037002882317"
"Male","90+","fit","4.63657243816254"
"Male","<1","lwr","79.5720657551192"
"Male","1-4","lwr","78.9370741181161"
"Male","5-9","lwr","74.9780925192999"
"Male","10-14","lwr","70.0054610427623"
"Male","15-19","lwr","65.0334414465992"
"Male","20-24","lwr","60.1171318232598"
"Male","25-29","lwr","55.2463001625393"
"Male","30-34","lwr","50.3977438446652"
"Male","35-39","lwr","45.5888412905693"
"Male","40-44","lwr","40.8564628095488"
"Male","45-49","lwr","36.2056145603656"
"Male","50-54","lwr","31.6746791718822"
"Male","55-59","lwr","27.2755189632934"
"Male","60-64","lwr","23.0144116958594"
"Male","65-69","lwr","18.9729423417286"
"Male","70-74","lwr","15.3039413589132"
"Male","75-79","lwr","11.8687353756504"
"Male","80-84","lwr","8.845124238291"
"Male","85-89","lwr","6.25296108284787"
"Male","90+","lwr","4.48382130237254"
"Male","<1","upr","80.3206398105309"
"Male","1-4","upr","79.6263050286654"
"Male","5-9","upr","75.6665046148973"
"Male","10-14","upr","70.693660990715"
"Male","15-19","upr","65.7206760481555"
"Male","20-24","upr","60.8010455859072"
"Male","25-29","upr","55.9284619142141"
"Male","30-34","upr","51.0768752307692"
"Male","35-39","upr","46.2659032734907"
"Male","40-44","upr","41.5307472822041"
"Male","45-49","upr","36.8665502866741"
"Male","50-54","upr","32.327092259606"
"Male","55-59","upr","27.9287309730069"
"Male","60-64","upr","23.6774697576817"
"Male","65-69","upr","19.6422978762834"
"Male","70-74","upr","15.8288269916369"
"Male","75-79","upr","12.2105803096652"
"Male","80-84","upr","9.05522819945807"
"Male","85-89","upr","6.50839694559652"
"Male","90+","upr","4.78934881373044"
"Total","<1","fit","81.7998251773801"
"Total","1-4","fit","81.1120945142611"
"Total","5-9","fit","77.1495972914699"
"Total","10-14","fit","72.1716798064298"
"Total","15-19","fit","67.1980592221535"
"Total","20-24","fit","62.2644335085123"
"Total","25-29","fit","57.358735018933"
"Total","30-34","fit","52.4734669342329"
"Total","35-39","fit","47.6253391686709"
"Total","40-44","fit","42.844073822059"
"Total","45-49","fit","38.130736676605"
"Total","50-54","fit","33.5259282664312"
"Total","55-59","fit","29.0374824401579"
"Total","60-64","fit","24.6746401361701"
"Total","65-69","fit","20.516160494758"
"Total","70-74","fit","16.6025523434587"
"Total","75-79","fit","12.9018987440584"
"Total","80-84","fit","9.62476519145756"
"Total","85-89","fit","6.84745822827619"
"Total","90+","fit","4.87090742247693"
"Total","<1","lwr","81.4164501775193"
"Total","1-4","lwr","80.7600801282433"
"Total","5-9","lwr","76.797946623703"
"Total","10-14","lwr","71.8201251491678"
"Total","15-19","lwr","66.8469574069454"
