Gender,Age Group,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total,<1,715455,731996,710927,697813,696519,702448,685962,669797,649388
Total,1-4,2791746,2841204,2881973,2910787,2914081,2899852,2869672,2845633,2815791
Total,5-9,3153979,3251100,3360500,3448700,3537300,3611100,3682198,3708320,3721990
Total,10-14,3244008,3179100,3143800,3138100,3165200,3237400,3337167,3450782,3535065
Total,15-19,3521154,3482600,3446700,3419400,3399300,3361900,3298577,3270795,3262613
Total,20-24,3808837,3837700,3821700,3824000,3806500,3771000,3733967,3717960,3690265
Total,25-29,3842895,3845700,3874200,3910500,3953000,4012500,4036113,4022272,4009669
Total,30-34,3704347,3784900,3863500,3889300,3910000,3932400,3942482,3976030,4000908
Total,35-39,3703103,3596100,3536900,3563800,3641600,3732200,3821728,3900901,3918562
Total,40-44,4094339,4051700,3994200,3904000,3826300,3716300,3616676,3559955,3583853
Total,45-49,4112707,4142300,4145400,4136200,4103500,4096300,4060539,4005397,3914884
Total,50-54,3624981,3730500,3828400,3932900,4030700,4094400,4129245,4137131,4127941
Total,55-59,3190544,3242100,3304400,3379300,3475500,3580100,3686614,3785564,3888131
Total,60-64,3366772,3208400,3129800,3101500,3089600,3115800,3169875,3234026,3304688
Total,65-69,2725956,2973300,3106800,3168300,3212800,3229500,3079548,3006776,2978882
Total,70-74,2168918,2189400,2246300,2333000,2419000,2536500,2772255,2900152,2958612
Total,75-79,1787247,1814500,1855900,1899600,1919700,1912200,1931877,1985125,2067471
Total,80-84,1345290,1367800,1381700,1397200,1410200,1430600,1456467,1491797,1529682
Total,85-89,828357,831900,836900,855200,870600,891300,908625,918437,933656
Total,90+,440292,465500,478200,499200,504000,517400,525008,528959,547789
Male,<1,366537,374930,364958,357644,357381,360197,351582,343642,333765
Male,1-4,1428786,1454142,1475553,1491175,1493085,1486131,1471263,1458885,1444147
Male,5-9,1614598,1664385,1720245,1765445,1811061,1849352,1885101,1898484,1906678
Male,10-14,1660935,1627812,1609881,1606430,1619992,1658079,1710086,1768144,1812169
Male,15-19,1801359,1786447,1769480,1755860,1746361,1725998,1693673,1680191,1677017
Male,20-24,1924608,1944094,1940984,1949387,1943077,1933772,1919184,1913637,1899064
Male,25-29,1919706,1919671,1936343,1958743,1986698,2026894,2042432,2040911,2039665
Male,30-34,1852968,1886516,1922340,1935181,1948595,1966231,1967378,1983871,1996819
Male,35-39,1845055,1792706,1764463,1778066,1815329,1860942,1901108,1936734,1940526
Male,40-44,2026140,2003677,1977609,1934645,1898213,1845297,1796882,1769761,1783858
Male,45-49,2034545,2047616,2047165,2041819,2026454,2023833,2006473,1980181,1936273
Male,50-54,1798415,1850103,1896496,1945704,1991012,2019914,2036252,2039373,2034220
Male,55-59,1576567,1602160,1632721,1670449,1718052,1769456,1820859,1866897,1915479
Male,60-64,1652688,1572329,1533230,1517771,1512948,1526604,1553963,1585580,1621138
Male,65-69,1324899,1447288,1512185,1540906,1560546,1567144,1491385,1455983,1441364
Male,70-74,1027959,1038150,1066391,1110603,1153623,1212195,1327913,1389405,1416786
Male,75-79,810590,827571,850663,873540,884511,881782,892233,918891,960212
Male,80-84,557203,572005,583555,595901,607839,621345,636588,655504,675158
Male,85-89,295680,303353,310137,321706,331440,343665,354575,362168,372246
Male,90+,118399,128429,134797,143536,148630,156127,162323,167009,175925
Female,<1,348918,357066,345969,340169,339138,342251,334380,326155,315623
Female,1-4,1362960,1387067,1406427,1419644,1420998,1413728,1398409,1386748,1371644
Female,5-9,1539381,1586762,1640262,1683244,1726205,1761717,1797097,1809836,1815312
Female,10-14,1583073,1551287,1533892,1531716,1545256,1579294,1627081,1682638,1722896
Female,15-19,1719795,1696197,1677213,1663541,1652919,1635896,1604904,1590604,1585596
Female,20-24,1884229,1893629,1880734,1874608,1863394,1837268,1814783,1804323,1791201
Female,25-29,1923189,1925992,1937808,1951740,1966325,1985584,1993681,1981361,1970004
Female,30-34,1851379,1898383,1941202,1954100,1961398,1966190,1975104,1992159,2004089
Female,35-39,1858048,1803418,1772480,1785685,1826264,1871281,1920620,1964167,1978036
Female,40-44,2068199,2048039,2016544,1969315,1928123,1870975,1819794,1790194,1799995
Female,45-49,2078162,2094703,2098249,2094357,2077005,2072516,2054066,2025216,1978611
Female,50-54,1826566,1880352,1931910,1987242,2039645,2074534,2092993,2097758,2093721
Female,55-59,1613977,1639902,1671650,1708826,1757445,1810648,1865755,1918667,1972652
Female,60-64,1714084,1636025,1596612,1583693,1576695,1589157,1615912,1648446,1683550
Female,65-69,1401057,1525981,1594611,1627388,1652275,1662356,1588163,1550793,1537518
Female,70-74,1140959,1151211,1179879,1222424,1265408,1324285,1444342,1510747,1541826
Female,75-79,976657,986937,1005213,1026027,1035158,1030404,1039644,1066234,1107259
Female,80-84,788087,795805,798147,801284,802395,809240,819879,836293,854524
Female,85-89,532677,528581,526811,533446,539120,547615,554050,556269,561410
Female,90+,321893,337075,343420,355694,355400,361320,362685,361950,371864
