"Gender","Age.Group","Fit.Bound","Deaths"
"Total","<1","fit",2526
"Total","1-4","fit",358
"Total","5-9","fit",242
"Total","10-14","fit",325
"Total","15-19","fit",649
"Total","20-24","fit",1330
"Total","25-29","fit",1801
"Total","30-34","fit",2484
"Total","35-39","fit",3536
"Total","40-44","fit",4466
"Total","45-49","fit",8056
"Total","50-54","fit",12536
"Total","55-59","fit",18244
"Total","60-64","fit",24346
"Total","65-69","fit",31203
"Total","70-74","fit",54806
"Total","75-79","fit",63306
"Total","80-84","fit",85857
"Total","85-89","fit",92972
"Total","90+","fit",111997
"Male","<1","fit",1464
"Male","1-4","fit",176
"Male","5-9","fit",117
"Male","10-14","fit",209
"Male","15-19","fit",440
"Male","20-24","fit",927
"Male","25-29","fit",1255
"Male","30-34","fit",1600
"Male","35-39","fit",2244
"Male","40-44","fit",2708
"Male","45-49","fit",4817
"Male","50-54","fit",7718
"Male","55-59","fit",10913
"Male","60-64","fit",14230
"Male","65-69","fit",18586
"Male","70-74","fit",31633
"Male","75-79","fit",35150
"Male","80-84","fit",44840
"Male","85-89","fit",43772
"Male","90+","fit",39763
"Female","<1","fit",1062
"Female","1-4","fit",183
"Female","5-9","fit",126
"Female","10-14","fit",116
"Female","15-19","fit",208
"Female","20-24","fit",404
"Female","25-29","fit",556
"Female","30-34","fit",892
"Female","35-39","fit",1292
"Female","40-44","fit",1759
"Female","45-49","fit",3239
"Female","50-54","fit",4818
"Female","55-59","fit",7331
"Female","60-64","fit",10116
"Female","65-69","fit",12617
"Female","70-74","fit",23173
"Female","75-79","fit",28156
"Female","80-84","fit",41017
"Female","85-89","fit",49200
"Female","90+","fit",72234
"Total","<1","lwr",2065
"Total","1-4","lwr",279
"Total","5-9","lwr",146
"Total","10-14","lwr",251
"Total","15-19","lwr",427
"Total","20-24","lwr",959
"Total","25-29","lwr",1472
"Total","30-34","lwr",2050
"Total","35-39","lwr",3133
"Total","40-44","lwr",4038
"Total","45-49","lwr",7491
"Total","50-54","lwr",11954
"Total","55-59","lwr",17098
"Total","60-64","lwr",23100
"Total","65-69","lwr",28058
"Total","70-74","lwr",51321
"Total","75-79","lwr",59128
"Total","80-84","lwr",78108
"Total","85-89","lwr",82586
"Total","90+","lwr",97204
"Male","<1","lwr",1024
"Male","1-4","lwr",138
"Male","5-9","lwr",66
"Male","10-14","lwr",148
"Male","15-19","lwr",287
"Male","20-24","lwr",640
"Male","25-29","lwr",1022
"Male","30-34","lwr",1277
"Male","35-39","lwr",1942
"Male","40-44","lwr",2348
"Male","45-49","lwr",4481
"Male","50-54","lwr",7195
"Male","55-59","lwr",10485
"Male","60-64","lwr",13584
"Male","65-69","lwr",16741
"Male","70-74","lwr",29232
"Male","75-79","lwr",32595
"Male","80-84","lwr",41626
"Male","85-89","lwr",40065
"Male","90+","lwr",35936
"Female","<1","lwr",860
"Female","1-4","lwr",89
"Female","5-9","lwr",44
"Female","10-14","lwr",79
"Female","15-19","lwr",66
"Female","20-24","lwr",286
"Female","25-29","lwr",428
"Female","30-34","lwr",708
"Female","35-39","lwr",1111
"Female","40-44","lwr",1467
"Female","45-49","lwr",2880
"Female","50-54","lwr",4470
"Female","55-59","lwr",6279
"Female","60-64","lwr",9303
"Female","65-69","lwr",11155
"Female","70-74","lwr",21925
"Female","75-79","lwr",26422
"Female","80-84","lwr",36413
"Female","85-89","lwr",42447
"Female","90+","lwr",61214
"Total","<1","upr",2986
"Total","1-4","upr",438
"Total","5-9","upr",339
"Total","10-14","upr",399
"Total","15-19","upr",870
"Total","20-24","upr",1701
"Total","25-29","upr",2130
"Total","30-34","upr",2919
"Total","35-39","upr",3938
"Total","40-44","upr",4895
"Total","45-49","upr",8620
"Total","50-54","upr",13119
"Total","55-59","upr",19389
"Total","60-64","upr",25592
"Total","65-69","upr",34348
"Total","70-74","upr",58291
"Total","75-79","upr",67484
"Total","80-84","upr",93606
"Total","85-89","upr",103358
"Total","90+","upr",126790
"Male","<1","upr",1904
"Male","1-4","upr",213
"Male","5-9","upr",167
"Male","10-14","upr",270
"Male","15-19","upr",593
"Male","20-24","upr",1214
"Male","25-29","upr",1488
"Male","30-34","upr",1922
"Male","35-39","upr",2545
"Male","40-44","upr",3068
"Male","45-49","upr",5153
"Male","50-54","upr",8241
"Male","55-59","upr",11341
"Male","60-64","upr",14876
"Male","65-69","upr",20430
"Male","70-74","upr",34034
"Male","75-79","upr",37705
"Male","80-84","upr",48053
"Male","85-89","upr",47479
"Male","90+","upr",43589
"Female","<1","upr",1263
"Female","1-4","upr",276
"Female","5-9","upr",208
"Female","10-14","upr",152
"Female","15-19","upr",350
"Female","20-24","upr",521
"Female","25-29","upr",685
"Female","30-34","upr",1076
"Female","35-39","upr",1473
"Female","40-44","upr",2050
"Female","45-49","upr",3597
"Female","50-54","upr",5167
"Female","55-59","upr",8383
"Female","60-64","upr",10929
"Female","65-69","upr",14080
"Female","70-74","upr",24420
"Female","75-79","upr",29890
"Female","80-84","upr",45622
"Female","85-89","upr",55952
"Female","90+","upr",83254
