"Gender","Age.Group","Fit.Bound","Deaths"
"Total","<1","fit",2434
"Total","1-4","fit",363
"Total","5-9","fit",257
"Total","10-14","fit",291
"Total","15-19","fit",735
"Total","20-24","fit",1302
"Total","25-29","fit",1808
"Total","30-34","fit",2541
"Total","35-39","fit",3472
"Total","40-44","fit",4722
"Total","45-49","fit",8476
"Total","50-54","fit",13226
"Total","55-59","fit",18135
"Total","60-64","fit",23213
"Total","65-69","fit",37132
"Total","70-74","fit",54297
"Total","75-79","fit",65358
"Total","80-84","fit",86753
"Total","85-89","fit",99421
"Total","90+","fit",123669
"Male","<1","fit",1363
"Male","1-4","fit",194
"Male","5-9","fit",135
"Male","10-14","fit",177
"Male","15-19","fit",482
"Male","20-24","fit",930
"Male","25-29","fit",1251
"Male","30-34","fit",1644
"Male","35-39","fit",2168
"Male","40-44","fit",2930
"Male","45-49","fit",5151
"Male","50-54","fit",7944
"Male","55-59","fit",10797
"Male","60-64","fit",13723
"Male","65-69","fit",21905
"Male","70-74","fit",31264
"Male","75-79","fit",36391
"Male","80-84","fit",45423
"Male","85-89","fit",46165
"Male","90+","fit",42764
"Female","<1","fit",1071
"Female","1-4","fit",169
"Female","5-9","fit",123
"Female","10-14","fit",114
"Female","15-19","fit",254
"Female","20-24","fit",371
"Female","25-29","fit",557
"Female","30-34","fit",897
"Female","35-39","fit",1304
"Female","40-44","fit",1792
"Female","45-49","fit",3325
"Female","50-54","fit",5283
"Female","55-59","fit",7338
"Female","60-64","fit",9490
"Female","65-69","fit",15227
"Female","70-74","fit",23034
"Female","75-79","fit",28966
"Female","80-84","fit",41330
"Female","85-89","fit",53256
"Female","90+","fit",80906
"Total","<1","lwr",2172
"Total","1-4","lwr",314
"Total","5-9","lwr",213
"Total","10-14","lwr",246
"Total","15-19","lwr",601
"Total","20-24","lwr",1098
"Total","25-29","lwr",1629
"Total","30-34","lwr",2325
"Total","35-39","lwr",2939
"Total","40-44","lwr",4456
"Total","45-49","lwr",8112
"Total","50-54","lwr",12611
"Total","55-59","lwr",16809
"Total","60-64","lwr",21167
"Total","65-69","lwr",32296
"Total","70-74","lwr",49417
"Total","75-79","lwr",62719
"Total","80-84","lwr",83196
"Total","85-89","lwr",93066
"Total","90+","lwr",112094
"Male","<1","lwr",1150
"Male","1-4","lwr",158
"Male","5-9","lwr",110
"Male","10-14","lwr",141
"Male","15-19","lwr",403
"Male","20-24","lwr",753
"Male","25-29","lwr",1131
"Male","30-34","lwr",1464
"Male","35-39","lwr",1829
"Male","40-44","lwr",2708
"Male","45-49","lwr",4903
"Male","50-54","lwr",7543
"Male","55-59","lwr",9963
"Male","60-64","lwr",12515
"Male","65-69","lwr",19266
"Male","70-74","lwr",28266
"Male","75-79","lwr",34937
"Male","80-84","lwr",43927
"Male","85-89","lwr",43899
"Male","90+","lwr",39670
"Female","<1","lwr",935
"Female","1-4","lwr",126
"Female","5-9","lwr",85
"Female","10-14","lwr",95
"Female","15-19","lwr",170
"Female","20-24","lwr",315
"Female","25-29","lwr",493
"Female","30-34","lwr",809
"Female","35-39","lwr",1095
"Female","40-44","lwr",1656
"Female","45-49","lwr",3149
"Female","50-54","lwr",4965
"Female","55-59","lwr",6710
"Female","60-64","lwr",8606
"Female","65-69","lwr",13005
"Female","70-74","lwr",21124
"Female","75-79","lwr",27697
"Female","80-84","lwr",39231
"Female","85-89","lwr",49140
"Female","90+","lwr",72406
"Total","<1","upr",2695
"Total","1-4","upr",413
"Total","5-9","upr",302
"Total","10-14","upr",336
"Total","15-19","upr",870
"Total","20-24","upr",1505
"Total","25-29","upr",1988
"Total","30-34","upr",2758
"Total","35-39","upr",4005
"Total","40-44","upr",4988
"Total","45-49","upr",8840
"Total","50-54","upr",13842
"Total","55-59","upr",19460
"Total","60-64","upr",25258
"Total","65-69","upr",41967
"Total","70-74","upr",59178
"Total","75-79","upr",67996
"Total","80-84","upr",90310
"Total","85-89","upr",105775
"Total","90+","upr",135245
"Male","<1","upr",1575
"Male","1-4","upr",230
"Male","5-9","upr",160
"Male","10-14","upr",213
"Male","15-19","upr",560
"Male","20-24","upr",1108
"Male","25-29","upr",1372
"Male","30-34","upr",1824
"Male","35-39","upr",2507
"Male","40-44","upr",3152
"Male","45-49","upr",5398
"Male","50-54","upr",8344
"Male","55-59","upr",11632
"Male","60-64","upr",14931
"Male","65-69","upr",24544
"Male","70-74","upr",34262
"Male","75-79","upr",37846
"Male","80-84","upr",46920
"Male","85-89","upr",48430
"Male","90+","upr",45857
"Female","<1","upr",1207
"Female","1-4","upr",212
"Female","5-9","upr",160
"Female","10-14","upr",133
"Female","15-19","upr",338
"Female","20-24","upr",428
"Female","25-29","upr",621
"Female","30-34","upr",986
"Female","35-39","upr",1514
"Female","40-44","upr",1928
"Female","45-49","upr",3502
"Female","50-54","upr",5600
"Female","55-59","upr",7965
"Female","60-64","upr",10374
"Female","65-69","upr",17449
"Female","70-74","upr",24943
"Female","75-79","upr",30235
"Female","80-84","upr",43429
"Female","85-89","upr",57372
"Female","90+","upr",89406
