"Gender","Age.Group","fit","lwr","upr"
"Total","<1",2526,2065,2986
"Total","1-4",358,279,438
"Total","5-9",242,146,339
"Total","10-14",325,251,399
"Total","15-19",649,427,870
"Total","20-24",1330,959,1701
"Total","25-29",1801,1472,2130
"Total","30-34",2484,2050,2919
"Total","35-39",3536,3133,3938
"Total","40-44",4466,4038,4895
"Total","45-49",8056,7491,8620
"Total","50-54",12536,11954,13119
"Total","55-59",18244,17098,19389
"Total","60-64",24346,23100,25592
"Total","65-69",31203,28058,34348
"Total","70-74",54806,51321,58291
"Total","75-79",63306,59128,67484
"Total","80-84",85857,78108,93606
"Total","85-89",92972,82586,103358
"Total","90+",111997,97204,126790
"Male","<1",1464,1024,1904
"Male","1-4",176,138,213
"Male","5-9",117,66,167
"Male","10-14",209,148,270
"Male","15-19",440,287,593
"Male","20-24",927,640,1214
"Male","25-29",1255,1022,1488
"Male","30-34",1600,1277,1922
"Male","35-39",2244,1942,2545
"Male","40-44",2708,2348,3068
"Male","45-49",4817,4481,5153
"Male","50-54",7718,7195,8241
"Male","55-59",10913,10485,11341
"Male","60-64",14230,13584,14876
"Male","65-69",18586,16741,20430
"Male","70-74",31633,29232,34034
"Male","75-79",35150,32595,37705
"Male","80-84",44840,41626,48053
"Male","85-89",43772,40065,47479
"Male","90+",39763,35936,43589
"Female","<1",1062,860,1263
"Female","1-4",183,89,276
"Female","5-9",126,44,208
"Female","10-14",116,79,152
"Female","15-19",208,66,350
"Female","20-24",404,286,521
"Female","25-29",556,428,685
"Female","30-34",892,708,1076
"Female","35-39",1292,1111,1473
"Female","40-44",1759,1467,2050
"Female","45-49",3239,2880,3597
"Female","50-54",4818,4470,5167
"Female","55-59",7331,6279,8383
"Female","60-64",10116,9303,10929
"Female","65-69",12617,11155,14080
"Female","70-74",23173,21925,24420
"Female","75-79",28156,26422,29890
"Female","80-84",41017,36413,45622
"Female","85-89",49200,42447,55952
"Female","90+",72234,61214,83254
