"Gender","Age.Group","fit","lwr","upr"
"Total","<1","80.4314078717535","80.0326296748095","80.8035409494415"
"Total","1-4","79.7386778512252","79.3707654026554","80.0853177682278"
"Total","5-9","75.7756416051156","75.4080773881628","76.1219332841705"
"Total","10-14","70.7974166756265","70.4299406402905","71.1436157011298"
"Total","15-19","65.8237426241949","65.4567096282331","66.1695096350451"
"Total","20-24","60.8897856720691","60.5241395421255","61.2342170312968"
"Total","25-29","55.9846208259445","55.6196474732999","56.3283659719538"
"Total","30-34","51.1012499432423","50.7370627878467","51.4441875851609"
"Total","35-39","46.2559786641394","45.8924176178628","46.5982438957038"
"Total","40-44","41.4791308263919","41.116708255622","41.820180448666"
"Total","45-49","36.7760914620745","36.4187268301925","37.1121795663666"
"Total","50-54","32.1877703583337","31.8339071114708","32.5202355264381"
"Total","55-59","27.7252128271923","27.3712290745167","28.0574129481453"
"Total","60-64","23.4022183390615","23.0428096759772","23.7391975205803"
"Total","65-69","19.3008106159841","18.9378826369875","19.6402661094384"
"Total","70-74","15.4574474257887","15.1638741842606","15.735957408009"
"Total","75-79","11.8316965819747","11.6255746166707","12.03439406043"
"Total","80-84","8.66963606969169","8.52087867400791","8.8199515328831"
"Total","85-89","6.02693846377863","5.85252652607883","6.20284817488176"
"Total","90+","4.15442603710558","3.93160444785507","4.3772401029206"
"Male","<1","78.4618835488311","78.0616828324525","78.8318405812044"
"Male","1-4","77.7887280753783","77.4204516354544","78.1322511803824"
"Male","5-9","73.8285468705048","73.4606621509023","74.1716770570714"
"Male","10-14","68.8552493868875","68.4874582187952","69.1982786159907"
"Male","15-19","63.8828383810163","63.5155294106323","64.2253967523582"
"Male","20-24","58.9639845875566","58.5983219713199","59.3049509548136"
"Male","25-29","54.0918002368319","53.7269544728926","54.4319223475309"
"Male","30-34","49.2431717286397","48.8797876964068","49.5818139365843"
"Male","35-39","44.4352451695173","44.0727929624169","44.7728908328583"
"Male","40-44","39.7044467155183","39.343208296921","40.0407594372542"
"Male","45-49","35.0568014102764","34.7023083907104","35.3865104324701"
"Male","50-54","30.5385959121821","30.1880769292844","30.8641190879843"
"Male","55-59","26.1679301656667","25.8161642568734","26.4941199350342"
"Male","60-64","21.9591014304487","21.6006937735335","22.2909985363099"
"Male","65-69","17.9900838800652","17.62590452805","18.3262224705118"
"Male","70-74","14.325950334446","14.0414554793087","14.5917578305094"
"Male","75-79","10.8787218500197","10.6956292473135","11.0565472015467"
"Male","80-84","7.91626566506363","7.80485157794387","8.0286587205854"
"Male","85-89","5.49227301815175","5.35428088769874","5.63119865759437"
"Male","90+","3.85227467077134","3.68199504019155","4.02257567983581"
"Female","<1","82.4156466832681","82.0246100503459","82.7836356243224"
"Female","1-4","81.7002295100649","81.3388449830691","82.0438954487854"
"Female","5-9","77.7339387992391","77.3728621036289","78.0772983968435"
"Female","10-14","72.7501935046012","72.3891961564433","73.0934716374057"
"Female","15-19","67.7750301105957","67.4144369038378","68.117914805424"
"Female","20-24","62.8237652130624","62.4642416275888","63.1656251324398"
"Female","25-29","57.8809773812052","57.5219838377812","58.2223073207865"
"Female","30-34","52.9585765102801","52.5999283994646","53.2995461501911"
"Female","35-39","48.0731124750584","47.7153042742237","48.413230451969"
"Female","40-44","43.2470658851726","42.8903406921123","43.5860640627156"
"Female","45-49","38.482874262286","38.1297546611761","38.818333470185"
"Female","50-54","33.817137041997","33.4670603405093","34.1495061793021"
"Female","55-59","29.2522732229219","28.9029658766525","29.5836493788792"
"Female","60-64","24.8010578150241","24.4478354718129","25.1359600874029"
"Female","65-69","20.547544106292","20.192929669293","20.8831958242377"
"Female","70-74","16.5002524762507","16.2033565429895","16.7853724032102"
"Female","75-79","12.6693009033983","12.4453951618392","12.8911696464156"
"Female","80-84","9.27863560452288","9.10008064302907","9.45906245596169"
"Female","85-89","6.40280075547659","6.2019514896577","6.60542279976842"
"Female","90+","4.31821875507882","4.06362749878108","4.57279840263751"
