"Gender","Age.Group","fit","lwr","upr"
"Total","<1","82.0584000198126","80.6789475538853","83.5686442362825"
"Total","1-4","81.3885556096922","80.1033355510875","82.8194810515153"
"Total","5-9","77.4295075724561","76.1533311348947","78.8515205864795"
"Total","10-14","72.4540011380755","71.1873672322582","73.8664425704902"
"Total","15-19","67.4850781642225","66.2256678121984","68.8904037062375"
"Total","20-24","62.5503384017522","61.3137799649829","63.9331416605257"
"Total","25-29","57.658989923557","56.4517388158813","59.0122225682497"
"Total","30-34","52.7854563284369","51.6000596783552","54.1166956130967"
"Total","35-39","47.9395190472446","46.7789291054269","49.2456960249408"
"Total","40-44","43.1469008339561","42.0070803036549","44.4321969496634"
"Total","45-49","38.3976266432048","37.2813455835187","39.6601120209092"
"Total","50-54","33.7775653468977","32.6828959937493","35.0189883306601"
"Total","55-59","29.2646269856898","28.1807348979575","30.4961547754361"
"Total","60-64","24.8854322325743","23.8180297873933","26.1007068461022"
"Total","65-69","20.7097497738774","19.6550000215171","21.9138513125376"
"Total","70-74","16.7158275879218","15.7874297040854","17.8079942127002"
"Total","75-79","13.0507060578764","12.2347844286691","14.0507018104102"
"Total","80-84","9.71808296067715","8.97055829136193","10.6664250587594"
"Total","85-89","6.9966897505494","6.25602786305718","7.95334827260981"
"Total","90+","5.02386671071547","4.26246549412414","6.01701576066829"
"Male","<1","80.1700924384857","78.7550635155761","81.6266428209818"
"Male","1-4","79.5329062014998","78.2665450313086","80.8628810210196"
"Male","5-9","75.5712444532755","74.312861066466","76.8930175383441"
"Male","10-14","70.5937824645216","69.344753641038","71.9058498128202"
"Male","15-19","65.6317157748399","64.3939772350924","66.9326213792947"
"Male","20-24","60.7151739222638","59.5071871450156","61.986776006293"
"Male","25-29","55.8580646548962","54.6928691061849","57.0862775922818"
"Male","30-34","51.0257229443014","49.8906417581428","52.2236399645477"
"Male","35-39","46.2184783706789","45.1197258248221","47.3792743746427"
"Male","40-44","41.4753396793736","40.4075803759303","42.6044491032145"
"Male","45-49","36.7684721111668","35.7401236804089","37.858682123639"
"Male","50-54","32.2073745882609","31.2045266393312","33.271971777581"
"Male","55-59","27.7858640097502","26.8080453363497","28.8244717777762"
"Male","60-64","23.5015336743675","22.5280402206645","24.5353633083887"
"Male","65-69","19.4265738271105","18.4630296878913","20.4493885931258"
"Male","70-74","15.5842520796723","14.7682092413912","16.4727575812824"
"Male","75-79","12.0828720004803","11.4236669095837","12.8335643029538"
"Male","80-84","8.91518086057587","8.36995865456004","9.56268442051092"
"Male","85-89","6.38419392074821","5.84568921636466","7.03167564263338"
"Male","90+","4.61989789502804","4.07554658285347","5.28033170080142"
"Female","<1","83.9066790997575","82.3595693998017","85.6761119914503"
"Female","1-4","83.1994799477403","81.7387550101831","84.8964970949165"
"Female","5-9","79.2434325108521","77.8047533000728","80.9180255177977"
"Female","10-14","74.27021874356","72.8485696638139","75.9274913580701"
"Female","15-19","69.2935785390403","67.8792197090372","70.9434310452804"
"Female","20-24","64.3379041886077","62.9542576386333","65.9574635447626"
"Female","25-29","59.4078040529195","58.0437473918926","61.0074809003628"
"Female","30-34","54.4897550077066","53.143390747394","56.0716314745426"
"Female","35-39","49.6034277376666","48.2789285993711","51.1632706787463"
"Female","40-44","44.7583442951794","43.4530496055588","46.298972443383"
"Female","45-49","39.9625823688036","38.6893951178706","41.4713786885279"
"Female","50-54","35.2777139153021","34.0340535348911","36.7573983524243"
"Female","55-59","30.6641446025374","29.4381107432292","32.1271980934978"
"Female","60-64","26.1790818121677","25.0053053911583","27.5879070102846"
"Female","65-69","21.8876120470928","20.7438976889489","23.2680735840288"
"Female","70-74","17.722448906801","16.694036054638","19.001987108993"
"Female","75-79","13.8697622930436","12.919597143029","15.0914536447001"
"Female","80-84","10.3468446069878","9.43484731493958","11.5511106677094"
"Female","85-89","7.41750374471681","6.53056734766376","8.61235296191051"
"Female","90+","5.2459229725614","4.35430129483268","6.45855523246316"
