"Gender","Age.Group","fit","lwr","upr"
"Total","<1",625263,565635,684892
"Total","1-4",2776765,2737866,2815664
"Total","5-9",3702184,3668798,3735570
"Total","10-14",3658677,3578796,3738558
"Total","15-19",3232961,3148269,3317653
"Total","20-24",3678742,3630111,3727373
"Total","25-29",3932147,3879344,3984951
"Total","30-34",4060148,4013777,4106519
"Total","35-39",3882868,3831400,3934335
"Total","40-44",3631453,3538030,3724876
"Total","45-49",3826332,3755242,3897421
"Total","50-54",4057200,4010489,4103910
"Total","55-59",3979585,3956369,4002801
"Total","60-64",3368461,3325223,3411700
"Total","65-69",2904611,2690652,3118571
"Total","70-74",3060918,2827572,3294265
"Total","75-79",2168872,2069688,2268056
"Total","80-84",1586065,1572853,1599277
"Total","85-89",935446,919993,950898
"Total","90+",562658,540438,584878
"Male","<1",322212,292259,352165
"Male","1-4",1424081,1403380,1444782
"Male","5-9",1896944,1880601,1913288
"Male","10-14",1876400,1833959,1918840
"Male","15-19",1665299,1622523,1708075
"Male","20-24",1890697,1866660,1914734
"Male","25-29",2000234,1967218,2033250
"Male","30-34",2018047,1992907,2043188
"Male","35-39",1915385,1890542,1940228
"Male","40-44",1807205,1756478,1857933
"Male","45-49",1892808,1857330,1928286
"Male","50-54",2001495,1980913,2022076
"Male","55-59",1955919,1943613,1968224
"Male","60-64",1652045,1631683,1672406
"Male","65-69",1406905,1302313,1511498
"Male","70-74",1463328,1349786,1576869
"Male","75-79",1011435,963462,1059409
"Male","80-84",700751,696826,704676
"Male","85-89",377881,371488,384274
"Male","90+",183701,177649,189754
"Female","<1",303051,273292,332810
"Female","1-4",1352691,1334403,1370979
"Female","5-9",1805289,1787916,1822661
"Female","10-14",1782275,1744751,1819800
"Female","15-19",1567685,1525630,1609740
"Female","20-24",1788045,1761112,1814978
"Female","25-29",1931878,1910920,1952837
"Female","30-34",2042106,2012957,2071256
"Female","35-39",1967492,1940112,1994872
"Female","40-44",1824230,1781305,1867156
"Female","45-49",1933514,1897623,1969405
"Female","50-54",2055681,2029484,2081878
"Female","55-59",2023630,2012220,2035040
"Female","60-64",1716426,1693233,1739619
"Female","65-69",1497685,1388240,1607130
"Female","70-74",1597570,1477760,1717379
"Female","75-79",1157439,1106284,1208595
"Female","80-84",885316,875737,894895
"Female","85-89",557618,548334,566901
"Female","90+",378934,362513,395354
